,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
164684,3,1984-09-12,Jeopardy!,ROYALTY,$200,"King for 72 years, he devoted more than 40 to building Versailles",Louis XIV (of France),200,,
164932,2856,1997-01-20,Double Jeopardy!,MARTIN LUTHER KING,$200,At Crozer Theological Seminary King learned of this Indian leader's idea of nonviolence,Mahatma Gandhi,200,,
164938,2856,1997-01-20,Double Jeopardy!,MARTIN LUTHER KING,$400,It was the profession of King's father & grandfather as well,Minister,400,,
164944,2856,1997-01-20,Double Jeopardy!,MARTIN LUTHER KING,$600,"In December 1964 King conferred with this man, who was spying on him, about the FBI's role in civil rights",J. Edgar Hoover,600,,
164950,2856,1997-01-20,Double Jeopardy!,MARTIN LUTHER KING,$800,"King wished that his children ""not be judged by the color of their skin, but by the content of"" this",Character,800,,
164956,2856,1997-01-20,Double Jeopardy!,MARTIN LUTHER KING,$1000,This 3-word phrase from a spiritual is engraved 3 times on King's tombstone,"""Free At Last""",1000,,
164975,6107,2011-03-15,Jeopardy!,JULIUS CAESAR,$600,"In 47 B.C., after defeating the King of Pontus, Caesar boasted, ""Veni, vidi, vici!""; I came, I saw, I did this",I conquered,600,,
165050,3702,2000-10-10,Jeopardy!,BEASTLY COMMON BONDS,$500,"King, Black-Necked, Indian",Cobras,500,,
165110,4255,2003-02-14,Jeopardy!,HIGH COUP,$1000,"The 1st commoner to rule England, he became lord protector following the overthrow of King Charles I",Oliver Cromwell,1000,,
165197,6272,2011-12-20,Double Jeopardy!,TOUCHED BY AN ANGEL,$2000,"The ""Angel of Hadley"" is said to have saved a New England town during the war with this Indian ""King""",King Philip,2000,,
165371,3019,1997-10-16,Double Jeopardy!,1960,$800,On June 30 this country's King Baudouin granted independence to its Congolese colony,Belgium,800,,
165591,3625,2000-05-12,Double Jeopardy!,EARLS,$200,The Earls of Arundel & Warren got their names on this 1215 document along with King John,Magna Carta,200,,
165752,4673,2004-12-22,Jeopardy!,NATIONAL FORESTS,$600,"A replica of the 1st Spanish mission in Eastern Texas stands in the natl. forest named for this ""King of the Wild Frontier""",Davy Crockett,600,,
165805,4464,2004-01-22,Jeopardy!,'60s STUFF,$200,"In 1967 this company bought Burger King for a lot of dough, boy",Pillsbury,200,,
165982,1326,1990-05-14,Final Jeopardy!,THE BIBLE,None,"Of the men mentioned in the King James Version, he's first alphabetically",Aaron (Moses' brother),0,,
166289,3330,1999-02-12,Jeopardy!,"""LOVE"" SONGS",$200,"In this title song from Elvis' first movie, The King declares ""You have made my life complete, and I love you so""",Love Me Tender,200,,
166361,6067,2011-01-18,Jeopardy!,"""Y"" ASK",$800,This country name proclaimed by King Alexander in 1929 fell off the map in 2003,Yugoslavia,800,,
166392,6067,2011-01-18,Double Jeopardy!,ALBUM TITLE REFERENCES,$2000,Roxy Music: An island where King Arthur was carried after death,Avalon,2000,,
166401,4536,2004-05-03,Jeopardy!,MOTHER GOOSE,$200,"Old King Cole called for his pipe, his bowl & 3 of these musicians",his fiddlers,200,,
166554,4822,2005-07-19,Double Jeopardy!,AUTHORS,$800,"(<a href=""http://www.j-archive.com/media/2005-07-19_DJ_17.jpg"" target=""_blank"">Hi. I'm Peggy Noonan.</a>)  In 2001 I hit the bestseller lists with ""When Character Was King: A Story of"" this 40th president",Ronald Reagan,800,,
166686,2357,1994-11-29,Double Jeopardy!,ANCIENT HISTORY,$800,"A few years after the death of Antipater in 43 B.C., Rome made this ""Great"" ruler King of Judea",Herod,800,,
166762,5524,2008-09-18,Jeopardy!,KIDS IN LIT,$200,He joined the Auror Department under Kingsley Shacklebolt at age 17,Harry Potter,200,,
166942,6205,2011-07-29,Jeopardy!,THE OLD TESTAMENT -- BEFORE THE DELUGE,$400,The first specific animal mentioned in the King James Bible is this great sea mammal,a whale,400,,
166970,6205,2011-07-29,Double Jeopardy!,POLITICIANS,$800,"This powerful Cardinal during the time of King Louis XIII was known as ""the Red Eminence""",Cardinal Richelieu,800,,
167208,5399,2008-02-14,Double Jeopardy!,TEENS IN HISTORY,$800,Henry VIII's sister Margaret was a teen when she married King James IV of this British Isles country,Scotland,800,,
167237,3679,2000-09-07,Jeopardy!,SATURDAY NIGHT LIVE STARS,$200,"Wearing a bee costume, John Belushi sang ""I'm A King Bee"" as half of the duo later known as this",The Blues Brothers,200,,
167387,3657,2000-06-27,Double Jeopardy!,2-LETTER WORDS,$400,This 1986 Stephen King bestseller features a demonic clown named Pennywise,It,400,,
167406,3657,2000-06-27,Final Jeopardy!,ODD JOBS,None,"Among men in this occupation, King Henry VIII's was Will Somers & King Arthur's was Dagonet",Court jester,0,,
167417,3106,1998-02-16,Jeopardy!,"""OY""!",$200,"Perhaps from the French for ""Cord fit for the King"", it was originally woven from silk, not cotton",corduroy,200,,
167439,3106,1998-02-16,Double Jeopardy!,7-LETTER WORDS,$200,"Really big, like a Burger King burger",Whopper,200,,
167532,902,1988-07-05,Jeopardy!,MUSIC ON THE MAP,$200,Herb Alpert spent time in one of its taxis while the Kingston Trio did time in its jail,Tijuana,200,,
167550,902,1988-07-05,Jeopardy!,MUSIC ON THE MAP,$500,"Elton John wrote this song for Billie Jean King's tennis team, not our bicentennial","""Philadelphia Freedom""",500,,
167698,5078,2006-10-11,Jeopardy!,RELIGION IN ART,$200,"Famous for his ""Peaceable Kingdom"" series, Edward Hicks depicted <a href=""http://www.j-archive.com/media/2006-10-11_J_06.jpg"" target=""_blank"">this</a> <a href=""http://www.j-archive.com/media/2006-10-11_J_06a.jpg"" target=""_blank"">Biblical event</a> in the early 19th century",Noah's Ark,200,,
167815,5864,2010-02-25,Final Jeopardy!,SCIENTIFIC MNEMONICS,None,"""Kings play chess on finely grained sand"" is a mnemonic device used to help remember a system devised by this scientist",Carolus Linnaeus,0,,
167816,4316,2003-05-12,Jeopardy!,19th CENTURY AMERICA,$200,"This ""King of the Wild Frontier"" served as a scout during the 1813-14 war against the Creek Indians in Alabama & Florida",Davy Crockett,200,,
167832,4316,2003-05-12,Jeopardy!,BIRTH OF A NATION,$600,"June 30, 1960: This country's King Baudouin grants independence to its large Congolese colony",Belgium,600,,
168088,3249,1998-10-22,Double Jeopardy!,POLITICIANS,$400,"Charles Stewart Parnell was nicknamed ""The Uncrowned King Of"" this country",Ireland,400,,
168200,5379,2008-01-17,Double Jeopardy!,REDHEADS,$400,"Youngest of the 8 sons of Jesse, this supposedly redheaded King of Israel reigned from 1000 to 962 B.C.",David,400,,
168222,5379,2008-01-17,Double Jeopardy!,SINGING THE BLUES,$2000,"Credited with writing ""Sweet Home Chicago"", this ""King of the Delta Blues"" said the Devil taught him to play guitar",Robert Johnson,2000,,
168282,2150,1993-12-31,Jeopardy!,1960s BROADWAY,$100,"Theatre World said this 1960 musical about King Arthur ""couldn’t touch 'My Fair Lady'""",Camelot,100,,
168489,3318,1999-01-27,Jeopardy!,WHO PLAYED 'EM?,$500,"Sabrina Duncan, Amanda King",Kate Jackson,500,,
168979,3037,1997-11-11,Double Jeopardy!,HISTORIC AMERICANS,$400,"Although known as the ""March King"", this Marine bandmaster wrote 10 comic operas",John Philip Sousa,400,,
169105,3664,2000-07-06,Double Jeopardy!,EBONY,$600,"A picture at Dr. King's funeral made Ebony's Moneta Sleet, Jr. the 1st black male photographer to win this prize",the Pulitzer Prize,600,,
169141,3366,1999-04-05,Jeopardy!,AN ACTOR'S LIFE,$400,Pat Kingsley of PMK is one of the most famous of these people who keep actors' names in the news,publicist,400,,
169336,5428,2008-03-26,Double Jeopardy!,THE JONATHAN CLUB,$800,"""JTT"" for short, he was the voice of the young Simba in ""The Lion King""",Jonathan Taylor Thomas,800,,
169385,5613,2009-01-21,Jeopardy!,THEME PARK FUN,$1000,"Ohio's Kings Island is the lair of ""The Beast"", the longest wooden one of these in the world",a roller coaster,1000,,
169541,5368,2008-01-02,Jeopardy!,RHYME STOPPER,$200,"A big lie, or a Burger King favorite",a whopper,200,,
170003,5455,2008-05-02,Double Jeopardy!,GEOGRAPHY,$1600,"On 11/27/00 King Harald V opened this country's Laerdal Highway Tunnel, the world's longest at 15.2 miles",Norway,1600,,
170007,5455,2008-05-02,Double Jeopardy!,THE SWEET 1600s,$1600,"In the 1697 Treaty of Rijswijk, the French recognized this Dutch-born man as King of England",William of Orange,1600,,
170064,5410,2008-02-29,Double Jeopardy!,17th CENTURY FRANCE,$1600,"Assassinated in 1610 by a religious zealot, King Henry IV was the first French king of this royal house",Bourbon,1600,,
170070,5410,2008-02-29,Double Jeopardy!,17th CENTURY FRANCE,$2000,"In an effort to unite France under a Catholic banner, King Louis XIV revoked this edict in 1685",the Edict of Nantes,2000,,
170132,5641,2009-03-02,Double Jeopardy!,HIS PRO TEAM RIGHT BEFORE...,$2000,...before Wayne Gretzky played for the L.A. Kings (they're up north),Edmonton Oilers,2000,,
170201,3159,1998-04-30,Jeopardy!,KINGS,$100,This country's King Louis XVI was guillotined in the square once named for King Louis XV,France,100,,
170207,3159,1998-04-30,Jeopardy!,KINGS,$200,"King Juan Carlos attended the army, navy & air academies & the university of this Spanish capital",Madrid,200,,
170384,5208,2007-04-11,Jeopardy!,ROCK,$400,"(<a href=""http://www.j-archive.com/media/2007-04-11_J_12.jpg"" target=""_blank"">Cheryl of the Clue Crew reports from a Broadway stage.</a>) If you know the name for a group of lions, you can guess the name of this famous rock, here on the set of <i>The Lion King</i>",Pride Rock,400,,
170405,5208,2007-04-11,Double Jeopardy!,HE WAS IN THE TOP 40?,$400,"In 1978 this comedian & ""the Toot Uncommons"" dug up a No. 17 hit with ""King Tut""",Steve Martin,400,,
170678,3897,2001-07-10,Jeopardy!,WORLD CAPITALS,$100,"King Juan Carlos' main home, Zarzuela Palace, lies just outside this capital",Madrid,100,,
170751,6224,2011-10-13,Jeopardy!,LITERARY NARRATORS,$600,"The narrator of David Foster Wallace's ""The Pale King"" battles boredom at this agency's Regional Examination Center",the IRS,600,,
170827,3347,1999-03-09,Jeopardy!,A MASQUE OF MASKS,$500,The famous mask seen here was discovered in this decade (King Tut's burial mask),1920's,500,,
171383,5136,2007-01-01,Double Jeopardy!,NAME THE CENTURY,"$4,000",The King James version of the Bible is first published,the 17th century (1611),4000,,
171467,2121,1993-11-22,Jeopardy!,LAW & ORDER,$200,"In September 1992, Gregory Kingsley, a 12-year-old Florida boy, was granted one of these from his parents",Divorce,200,,
171696,4741,2005-03-28,Double Jeopardy!,JAZZ,$2000,"Louis Armstrong's mentor, this jazz ""King"" was ruined by dental trouble & died while working as a poolroom marker","""King"" Oliver",2000,,
171840,4993,2006-05-03,Jeopardy!,FOUNTAINS,$600,King Matyas Corvinus & his beloved Ilonka adorn the Matyas Fountain at this Hungarian city's Royal Palace,Budapest,600,,
171902,2627,1996-01-23,Jeopardy!,ROYALTY,$400,In 1993 King Hussein celebrated his 40th anniversary as ruler of this country,Jordan,400,,
171946,3701,2000-10-09,Jeopardy!,THE BALD & THE BEAUTIFUL,$100,"In 1951 he gave the first of over 4,500 performances as the King of Siam",Yul Brynner,100,,
171980,3701,2000-10-09,Double Jeopardy!,I RULE!,$400,King Fahd bin Abdul Aziz,Saudi Arabia,400,,
171992,3701,2000-10-09,Double Jeopardy!,I RULE!,$800,King Carl XVI Gustaf,Sweden,800,,
172131,3761,2001-01-01,Jeopardy!,BROADWAY DEBUTS,$200,Robert Goulet debuted as Lancelot in this 1960 show, in 1993 he brought it back to B'way & played King Arthur,"""Camelot""",200,
172455,2890,1997-03-07,Double Jeopardy!,JUNGLE POTPOURRI,$400,"This comic ""Lion King"" pair have their own CD-ROM called ""Jungle Games""",Timon & Pumbaa,400,,
172681,1883,1992-11-11,Jeopardy!,"""C"" YOU AT THE MOVIES",$500,"This comedy-western was Nat King Cole's last film; Jane Fonda, not Nat, played the title role","""Cat Ballou""",500,,
172750,6154,2011-05-19,Double Jeopardy!,TATTOOED LADIES,$800,"On one shoulder, this ""Transformers"" star has a paraphrase of a ""King Lear"" line about butterflies",Megan Fox,800,,
172904,6119,2011-03-31,Jeopardy!,THEY NAMED A MOUNTAIN FOR ME,$400,Mount Clarence King in this range is named for the man who discovered Mount Whitney,the Sierra Nevadas,400,,
173137,1332,1990-05-22,Jeopardy!,ANIMALS,$100,"Called the ""King of the Terriers"", its original home was the valley of the river Aire",Airedale,100,,
173606,5895,2010-04-09,Double Jeopardy!,WINNING WORDS,$2000,"The hymn title these ""Kings Their Titles Take"" was the only phrase Dr. Spooner admitted spoonerizing",conquering,2000,,
173611,4524,2004-04-15,Jeopardy!,BANDS IN OTHER WORDS,$200,King's Consort,Queen,200,,
173835,4939,2006-02-16,Double Jeopardy!,WHAT KIN ARE YOU TO ME?,$1600,"Napoleon was this to Joseph Bonaparte, whom he made King of Spain",brother,1600,,
173964,4593,2004-07-21,Double Jeopardy!,"""LA"" DEE DA",$2000,"This Hamburg native who's designed for Chloe & Fendi is known as ""King Karl""",Karl Lagerfeld,2000,,
174020,5219,2007-04-26,Double Jeopardy!,PITFALL,$2000,The Anglo-Saxons held their ground against the invaders until King Harold tok an arrow to the eye in this 1066 battle,the Battle of Hastings,2000,,
174055,2143,1993-12-22,Double Jeopardy!,HISTORIC PEOPLE,$200,This conqueror was crowned King of England on Christmas Day 1066,William,200,,
174247,4836,2005-09-26,Double Jeopardy!,ALL'S PHARAOH,$800,"King Tut's mummy was protected by 9 outer cases, the innermost made from almost 300 solid pounds of this",gold,800,,
174257,4836,2005-09-26,Double Jeopardy!,DEAD MAN WALKEN,$1600,Chris was not quite dead yet as a coma patient who develops ESP in this Stephen King-based film,The Dead Zone,1600,,
174351,5937,2010-06-08,Jeopardy!,YOU'RE A GRAND OLD FLAG,$800,This South Pacific island nation's flag was based on an idea from King George Tupou I,Tonga,800,,
174382,5937,2010-06-08,Double Jeopardy!,LISTED IN THE WORLD ALMANAC,$1600,"The World Almanac says she's the ""American-born widow of Jordan's King Hussein""",Queen Noor,1600,,
174545,3275,1998-11-27,Double Jeopardy!,OEDIPUS,$200,"""Oedipus The King"" opens with a priest of this living god asking Oedipus to stop a plague",Zeus,200,,
174721,2881,1997-02-24,Double Jeopardy!,CONTEMPORARY AUTHORS,$200,"The New York Times Magazine has called him ""King of the Techno-Thriller""",Tom Clancy,200,,
174864,2896,1997-03-17,Double Jeopardy!,WORLD GEOGRAPHY,$1000,"Frederiction, the capital of this Canadian province, is named for a son of King George III",New Brunswick,1000,,
175259,3055,1997-12-05,Double Jeopardy!,THE 1930s,$400,His short reign as King of England fell in in 1936,King Edward VIII,400,,
175457,1320,1990-05-04,Double Jeopardy!,IN THE NEWS,$1000,Relics of this culture found at Nimrud in Iraq's Nineveh region were called the greatest find since King Tut,Assyrian,1000,,
175464,758,1987-12-09,Jeopardy!,GEOGRAPHY,$100,The Brig O'Doon refers to a bridge over the River Doon in this part of the United Kingdom,Scotland,100,,
175693,5869,2010-03-04,Double Jeopardy!,HOME OF THE BRAVE,"$2,000",King Haakon VII's Freedom Cross,Norway,2000,,
175729,5576,2008-12-01,Double Jeopardy!,ROYALTY,$400,"In 1999 Abdullah II succeeded his late father, King Hussein, as this country's monarch",Jordan,400,,
176105,5674,2009-04-16,Double Jeopardy!,GIVE ME SOME DIRECTION,$1200,"In Austin, Texas its boundaries are Martin Luther King Blvd., IH-35, Town Lake & Lamar Blvd.",downtown,1200,,
176171,6145,2011-05-06,Double Jeopardy!,THEIR MAIN MUSICAL INSTRUMENT,$1600,Dave Barry & Stephen King,the guitar,1600,,
176397,3624,2000-05-11,Double Jeopardy!,MONARCHIES,$600,"It's the country ruled by King Mohammed VI, son of the late Hassan II",Morocco,600,,
176440,2910,1997-04-04,Jeopardy!,SCI-FI SIRENS,$500,"In this 1995 Ben Kingsley thriller, Natasha Henstridge starred as a shape-changing creature",Species,500,,
176612,3675,2000-07-21,Jeopardy!,OLD HAT,$300,"In the mid-'50s you were a cool kid if you had one of these hats like the ""King of the Wild Frontier""",Coonskin cap,300,,
176633,3675,2000-07-21,Double Jeopardy!,LOTS OF CHARACTER,$400,"In March 2000 the only way to get ""Riding The Bullet"", Stephen King's tale of Alan Parker, was by doing this",Logging onto the Internet,400,,
176809,2116,1993-11-15,Double Jeopardy!,LITERATURE,$200,"After his son Kingsley Doyle was killed in World War I, he became a devoted spiritualist",Arthur Conan Doyle,200,,
176950,3555,2000-02-04,Double Jeopardy!,AROUND THE WORLD,$1000,"The ""Mabinogian"" is a collection of Celtic lore from this United Kingdom division",Wales,1000,,
177023,2571,1995-11-06,Jeopardy!,THE BIBLE,$200,"The last word in the King James Version Old Testament is ""curse"" & this is the first word","""In""",200,,
177074,963,1988-11-09,Jeopardy!,"""FOUR"" WORDS",$200,"King, king, king, king, or three, three, three, three, for example",four of a kind,200,,
177185,3612,2000-04-25,Double Jeopardy!,WORLD CITIES,$1000,This chief city of South Australia was named for the wife of Britain's King William IV,Adelaide,1000,,
177259,4824,2005-07-21,Jeopardy!,1980s BESTSELLERS,$600,Stephen King fans found it hard to rest in peace after reading this bestseller about an animal graveyard,Pet Sematary,600,,
177278,4824,2005-07-21,Double Jeopardy!,THE WORLD OF NAT KING COLE,$400,"She's the threshold lassie being crooned over by Nat King Cole <a href=""http://www.j-archive.com/media/2005-07-21_DJ_21.mp3"">here</a>  <i>""Many dreams have been brought to your doorstep, they just lie there...""</i>","""Mona Lisa""",400,,
177661,965,1988-11-11,Double Jeopardy!,SHAKESPEAREAN 1ST LINES,"$1,000","King of Denmark who begins, ""Though yet of Hamlet our dear brother's death the memory be green...""",(King) Claudius,1000,,
177933,607,1987-04-07,Double Jeopardy!,COLONIAL AMERICA,$200,"""King Philip"", who led bloody Indian war, was son of Massasoit who, in 1621, met these people in friendship",the Pilgrims,200,,
178017,5456,2008-05-05,Double Jeopardy!,MOVIE DIRECTORS,$2000,"His first try at a ""King Kong"" remake was stopped, as ""Mighty Joe Young"" & ""Godzilla"" were being produced",Peter Jackson,2000,,
178110,4908,2006-01-04,Jeopardy!,YOU CAN QUOTE ME,$1000,"It's the year Martin Luther King declared at the Lincoln Memorial, ""I have a dream""",1963,1000,,
178378,2944,1997-05-22,Double Jeopardy!,IN THE BOOKSTORE,$800,"Novelist Barbara Kingsolver's new book of essays is entitled ""High Tide In"" this second-largest Arizona city",Tucson,800,,
178692,6105,2011-03-11,Jeopardy!,"THE KING & ""I""",$400,"In 1957 the King recorded this seasonal song about getting somewhere for the holidays ""if only in my dreams""",I'll Be Home For Christmas,400,,
178698,6105,2011-03-11,Jeopardy!,"THE KING & ""I""",$600,"Completes the title of the King's second No. 1 ""I Want You, I Need You...""",I Love You,600,,
178703,6105,2011-03-11,Jeopardy!,"THE KING & ""I""",$800,"The King called this Hank Williams classic he recorded in 1973 ""the saddest song I've heard in my life""",I'm So Lonesome I Could Cry,800,,
178708,6105,2011-03-11,Jeopardy!,"THE KING & ""I""",$1000,The King's debut album included a rockin' version of this Ray Charles classic about a gal way across town,I Got A Woman,1000,,
178898,4288,2003-04-02,Double Jeopardy!,COLORFUL LIT,$800,Much of this Stephen King serial novel takes place at Cold Mountain Penitentiary,"""The Green Mile""",800,,
179203,4733,2005-03-16,Double Jeopardy!,____ OF THE ____,$800,"In the King James Bible, it's the full name of the book that immediately follows the Gospels",Acts of the Apostles,800,,
179240,3539,2000-01-13,Jeopardy!,BIBLICAL NUMBERS,$300,"The number of times the words ""apple"" & ""snake"" appear in the King James Version of Genesis","0 (""fruit"" & ""serpent"" were used instead)",300,,
179433,3372,1999-04-13,Jeopardy!,MIDDLE NAME LEE,$500,"He's the legendary singer & guitarist nicknamed ""The King of the Boogie""",John Lee Hooker,500,,
179452,3372,1999-04-13,Double Jeopardy!,IN SPAIN,$600,Zaragoza is the capital of this region best known for King Ferdinand & his daughter Catherine of it,Aragon,600,,
179704,4792,2005-06-07,Jeopardy!,EDIFICE REX,$1000,Bab Al Salam palace in AMman's home to this former queen & wife of King Hussein,Queen Noor,1000,,
179888,2577,1995-11-14,Jeopardy!,TELEVISION,$500,"Among her TV roles were Jill Danko, Sabrina Duncan & Amanda King",Kate Jackson,500,,
179919,2577,1995-11-14,Double Jeopardy!,LITERATURE,$1000,"In 1904 this short story author's first book, ""Cabbages and Kings"", was published",O. Henry,1000,,
180131,5749,2009-09-17,Double Jeopardy!,"""E"" TIMES 3",$400,King David & Jesus both hailed from this town,Bethlehem,400,,
180161,4603,2004-09-15,Jeopardy!,FEMMES FATALES,$200,"So enraptured was Israel's King David with this woman, he deliberately sent her husband into battle where he died",Bathsheba,200,,
180354,3221,1998-09-14,Jeopardy!,A WALK IN THE PARK,$500,This London park was named for the position held by the future King George IV,Regent's Park,500,,
180360,3221,1998-09-14,Jeopardy!,A WALK IN THE PARK,$400,You can follow streets named for King George V & King David to Independence Park in this city,Jerusalem,400,,
180674,3614,2000-04-27,Double Jeopardy!,A NIGHT AT THE OPERA,$400,"Verdi's ""Un Giorno Di Regno"", translated as ""King For"" this long, got only 1 performance",A day,400,,
180722,3415,1999-06-11,Jeopardy!,HOME COOKIN',$500,"Appropriately, Chicken a la King is featured in ""Are You Hungry Tonight?"", a book of his favorite recipes",Elvis Presley,500,,
180734,3415,1999-06-11,Double Jeopardy!,GREEN STUFF,$400,"After ""Louie, Louie"", the Kingsmen's next biggest hit was about ho, ho, him","""The Jolly Green Giant""",400,,
180788,3218,1998-09-09,Double Jeopardy!,FUN WITH THE ANCIENT LYDIANS,$200,One of these astronomical events brought an end to King Alyattes' war with the Medes,an eclipse,200,,
180952,2870,1997-02-07,Jeopardy!,THE CRUSADES,$300,Kings Baldwin I & II were Christian rulers of this holy Mideastern city,Jerusalem,300,,
181100,2901,1997-03-24,Double Jeopardy!,HISTORIC EUROPEAN LEADERS,$400,"He was ""The Great"", ""Le Grand Monarque"" & ""The God-Given"" as well as ""The Sun King""",Louis XIV,400,,
181109,2901,1997-03-24,Double Jeopardy!,FIRST NAMES,$800,"This masculine name is derived from French for ""The King""",Leroy (le roi),800,,
181134,4872,2005-11-15,Jeopardy!,DUKES BEDEVILED,$600,"""The Duke"" & ""The King"" commandeer this title character's raft in an 1884 novel",Huckleberry Finn,600,,
181232,2831,1996-12-16,Double Jeopardy!,AUTHORS,$800,"His 1885 work ""King Solomon's Mines"" was suggested by the ruins at Zimbabwe",H. Rider Haggard,800,,
181456,4195,2002-11-22,Jeopardy!,BIBLE HEROES,$1000,"In 1 Kings 3, he wisely suggests cutting a child in two in order to reveal its true mother",Solomon,1000,,
181536,4515,2004-04-02,Double Jeopardy!,ROYAL LANDMARKS,"$2,000",English folk still leave flowers at the spot where King Harold fell in this battle,Hastings,2000,,
181659,5140,2007-01-05,Double Jeopardy!,THE KING & I,$1600,"In 1972 King Frederik IX's oldest daughter, Margrethe, succeeded him on the throne fo this country",Denmark,1600,,
181870,5940,2010-06-11,Jeopardy!,"""LAST"" CHANCE",$600,"The last 3 words of Martin Luther King Jr.'s ""I Have a Dream"" speech, they also appear in his epitaph","""Free at last""",600,,
182109,1422,1990-11-06,Jeopardy!,QUOTES,$500,"An 1855 book subtitled ""The Economical Relations of Slavery"" was titled this ""Is King""",Cotton,500,,
182156,1422,1990-11-06,Final Jeopardy!,THE BIBLE,None,"This Old Testament book opens ""The words of the preacher, the son of David, King in Jerusalem""",Ecclesiastes,0,,
182163,2810,1996-11-15,Jeopardy!,HISTORIC AMERICANS,$200,"This president's enemies called him ""King Andrew I"", but he's better-known as ""Old Hickory""",Andrew Jackson,200,,
182502,4722,2005-03-01,Double Jeopardy!,1984,$2000,"Here's the ""catch"": in 1984 he penned ""God Knows"" in the form of an autobiography of King David",(Joseph) Heller,2000,,
182726,4466,2004-01-26,Double Jeopardy!,OPERA TITLE CHARACTERS,"$1,400","The title characters of this opera are a poor boy, King Kaspar, King Melchior & King Balthazar",Amahl and the Night Visitors,1400,,
182763,4660,2004-12-03,Jeopardy!,NEPALESE HISTORY,$1000,"This name of the dynasty that has ruled Nepal since 1769 is also the Persian word for ""King""",Shah,1000,,
182960,5505,2008-07-11,Double Jeopardy!,INSPIRED CHARACTERS,$800,"Isabelle in ""This Side of Paradise"" is one of several heroines inspired by his college girlfriend Ginevra King",(F. Scott) Fitzgerald,800,,
182996,4269,2003-03-06,Jeopardy!,BRITISH ROYAL DADS,$600,"He died from typhoid fever at age 42 in 1861, but not before he fathered King Edward VII",Prince Albert,600,,
183049,3115,1998-02-27,Jeopardy!,WORLD CAPITALS,$200,"In 1561 King Philip II chose this city as the capital of Spain, perhaps because he was born in the area",Madrid,200,,
183147,3426,1999-06-28,Double Jeopardy!,ASSASSINATIONS,$800,"This president's September 6, 1901 assassination was inspired by the killing of Italy's King Umberto I the year before",William McKinley,800,,
183190,5019,2006-06-08,Double Jeopardy!,"LITERARY CROSSWORD CLUES ""L""",$400,"""King"" of nonsense poets (4)",(Edward) Lear,400,,
183299,5598,2008-12-31,Jeopardy!,MOVIE CALENDAR,$800,"Jack Skellington, the Pumpkin King, delivers toys to kids in this Tim Burton film",The Nightmare Before Christmas,800,,
183462,3099,1998-02-05,Final Jeopardy!,ROYALTY,None,"A capital in the West Indies is named for this family name of William of Orange, King of England",Nassau,0,,
183523,1265,1990-02-16,Final Jeopardy!,AMERICAN NOVELS,None,"Chapter 15 of this 1881 novel is entitled ""Tom as King""",The Prince and the Pauper,0,,
183531,3445,1999-07-23,Jeopardy!,MISCELLANY,$200,"In the King James Version of the New Testament, it's the last word",Amen,200,,
183585,4321,2003-05-19,Jeopardy!,EARNINGS FROM THE CRYPT,$200,"With $37 million in 1 year, the ""King"" of the world's top-earning late celebrities is this man",Elvis Presley,200,,
183849,4874,2005-11-17,Jeopardy!,MONEY FROM HOME,$1000,"(<a href=""http://www.j-archive.com/media/2005-11-17_J_19.jpg"" target=""_blank"">Jon of the Clue Crew reports from Gdansk, Poland.</a>) King Vladislav, who joined Poland to Lithuania and ruled for almost 50 years, is on the note worth 100 of <a href=""http://www.j-archive.com/media/2005-11-17_J_19a.jpg"" target=""_blank"">these</a>",zlati,1000,,
183868,4874,2005-11-17,Double Jeopardy!,LOST IN AUSTRIA,$1200,King George's War in North America was known in Europe as the war of the Austrian this,Succession,1200,,
183900,5528,2008-09-24,Jeopardy!,LET'S GET BIBLICAL,$600,"Of the books in the King James Bible, this New Testament book is alphabetically first",Acts (of the Apostles),600,,
184000,3149,1998-04-16,Jeopardy!,LUCKY DUCKS,$100,"The Kingsmen were lucky to stay out of jail for performing this this song, their biggest hit","""Louie Louie""",100,,
184018,3149,1998-04-16,Jeopardy!,LUCKY DUCKS,$400,"This ""Kingfish"" was lucky enough to be governor & senator, but not president",(Huey) Long,400,,
184258,3584,2000-03-16,Jeopardy!,CHRISTIANITY,$500,"Of 66, 166 or 666, the number of books in the King James Version of the Bible",66,500,,
184401,4323,2003-05-21,Double Jeopardy!,FIRE ON FILM,$1600,"In the movie version of this Stephen King novel, Drew Barrymore set things ablaze with her mind",Firestarter,1600,,
184484,4327,2003-05-27,Jeopardy!,HAWAII,$600,"(Cheryl of the Clue Crew in downtown Honolulu)  Appropriately, a statue of this great Hawaiian is located on King Street",King Kamehameha,600,,
184492,4327,2003-05-27,Jeopardy!,LET'S HAVE A CONFERENCE,$800,"In 1968 Ralph Abernathy succeeded Martin Luther King as leader of this conference, abbreviated SCLC",Southern Christian Leadership Conference,800,,
184667,2941,1997-05-19,Jeopardy!,EUROPEAN HISTORY,$400,Prussia's King Wilhelm I assumed this title in 1871 when he was crowned emperor of Germany,Kaiser,400,,
184679,2941,1997-05-19,Double Jeopardy!,GREEK MYTHOLOGY,$200,King Midas almost died of hunger because everything he touched turned to this,Gold,200,,
184705,2941,1997-05-19,Double Jeopardy!,SHAKESPEARE,$500,They're the 3 daughters of King Lear,"Cordelia, Goneril & Regan",500,,
